,Group,Sample,BW,dpi,BT,pred_y,CI_upper,CI_lower
104,바이러스 접종군,V9,28.41,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
105,바이러스 접종군,V10,28.26,1,37.7,25.30603957005998,25.908212512382384,24.703866627737575
106,바이러스 접종군,V1,25.6,1,38.0,25.459786866915604,26.061959809238008,24.8576139245932
107,바이러스 접종군,V2,25.8,1,37.4,25.15229227320435,25.754465215526753,24.550119330881945
108,바이러스 접종군,V3,22.0,1,38.0,25.459786866915604,26.061959809238008,24.8576139245932
109,바이러스 접종군,V4,29.0,1,37.5,25.203541372156227,25.80571431447863,24.601368429833823
110,바이러스 접종군,V5,25.9,1,38.3,25.61353416377123,26.215707106093635,25.011361221448826
111,바이러스 접종군,V6,26.3,1,36.0,24.434804887878087,25.03697783020049,23.832631945555683
112,바이러스 접종군,V7,21.7,1,38.2,25.562285064819356,26.16445800714176,24.96011212249695
113,바이러스 접종군,V8,24.5,1,37.2,25.0497940753006,25.651967017623004,24.447621132978195
114,바이러스 접종군,V9,20.5,1,37.7,25.30603957005998,25.908212512382384,24.703866627737575
115,바이러스 접종군,V10,25.8,1,37.3,25.10104317425247,25.703216116574875,24.498870231930066
116,바이러스 접종군,V1,26.6,1,39.0,25.972277856434363,26.574450798756768,25.37010491411196
117,바이러스 접종군,V2,22.5,1,37.7,25.30603957005998,25.908212512382384,24.703866627737575
118,바이러스 접종군,V3,24.3,1,37.1,24.99854497634872,25.600717918671126,24.396372034026317
119,바이러스 접종군,V4,22.4,1,38.1,25.51103596586748,26.113208908189886,24.908863023545077
120,바이러스 접종군,V5,23.4,1,37.2,25.0497940753006,25.651967017623004,24.447621132978195
121,바이러스 접종군,V6,20.7,1,38.4,25.66478326272311,26.266956205045513,25.062610320400704
122,바이러스 접종군,V1,22.9,1,37.6,25.2547904711081,25.856963413430506,24.652617528785697
123,바이러스 접종군,V2,21.3,1,37.9,25.40853776796373,26.010710710286133,24.806364825641325
124,바이러스 접종군,V3,23.0,1,36.8,24.844797679493094,25.4469706218155,24.24262473717069
125,바이러스 접종군,V4,24.8,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
126,바이러스 접종군,V5,25.9,1,38.4,25.66478326272311,26.266956205045513,25.062610320400704
127,바이러스 접종군,V6,23.5,1,37.8,25.35728866901185,25.959461611334255,24.755115726689446
128,바이러스 접종군,V7,23.5,1,37.3,25.10104317425247,25.703216116574875,24.498870231930066
129,바이러스 접종군,V8,22.7,1,37.2,25.0497940753006,25.651967017623004,24.447621132978195
130,바이러스 접종군,V9,26.2,1,38.0,25.459786866915604,26.061959809238008,24.8576139245932
131,바이러스 접종군,V10,23.7,1,37.6,25.2547904711081,25.856963413430506,24.652617528785697
132,바이러스 접종군,V1,21.62,2,37.2,25.0497940753006,25.651967017623004,24.447621132978195
133,바이러스 접종군,V2,24.52,2,36.3,24.588552184733715,25.19072512705612,23.98637924241131
134,바이러스 접종군,V3,26.8,2,36.6,24.742299481589345,25.34447242391175,24.14012653926694
135,바이러스 접종군,V4,26.15,2,36.6,24.742299481589345,25.34447242391175,24.14012653926694
136,바이러스 접종군,V5,25.97,2,36.1,24.486053986829965,25.08822692915237,23.88388104450756
137,바이러스 접종군,V6,28.83,2,36.3,24.588552184733715,25.19072512705612,23.98637924241131
138,바이러스 접종군,V7,29.24,2,36.9,24.89604677844497,25.498219720767374,24.293873836122565
139,바이러스 접종군,V8,23.27,2,37.1,24.99854497634872,25.600717918671126,24.396372034026317
140,바이러스 접종군,V9,26.23,2,35.5,24.178559393118707,24.78073233544111,23.576386450796303
141,바이러스 접종군,V10,25.95,2,37.4,25.15229227320435,25.754465215526753,24.550119330881945
142,바이러스 접종군,V11,26.19,2,36.8,24.844797679493094,25.4469706218155,24.24262473717069
