,Group,Sample,BT,dpi,BW
127,바이러스+치료제,TH11,38.0,1,23.53
128,바이러스+치료제,TL1,37.5,1,20.9
129,바이러스+치료제,TL2,37.6,1,24.6
130,바이러스+치료제,TL3,37.3,1,25.5
131,바이러스+치료제,TL4,37.7,1,28.1
132,바이러스+치료제,TL5,37.0,1,25.9
133,바이러스+치료제,TL6,36.6,1,19.6
134,바이러스+치료제,TL7,37.1,1,22.7
135,바이러스+치료제,TL8,37.2,1,24.1
136,바이러스+치료제,TL9,30.3,1,22.8
137,바이러스+치료제,TL10,37.1,1,27.7
138,바이러스+치료제,TL1,36.4,2,26.43
139,바이러스+치료제,TL2,34.9,2,26.6
140,바이러스+치료제,TL3,35.4,2,26.67
141,바이러스+치료제,TL4,36.2,2,24.0
142,바이러스+치료제,TL5,36.8,2,25.32
143,바이러스+치료제,TL6,37.1,2,19.99
144,바이러스+치료제,TL7,36.8,2,26.99
145,바이러스+치료제,TL8,36.5,2,25.6
146,바이러스+치료제,TL9,35.4,2,26.04
147,바이러스+치료제,TL10,36.2,2,21.53
148,바이러스+치료제,TL11,36.2,2,28.14
149,바이러스+치료제,TL12,36.1,2,25.8
150,바이러스+치료제,TL13,36.2,2,27.21
151,바이러스+치료제,TL14,35.8,2,25.22
152,바이러스+치료제,TL15,35.9,2,30.66
153,바이러스+치료제,TL1,37.3,2,24.84
154,바이러스+치료제,TL2,36.3,2,24.33
155,바이러스+치료제,TL3,36.3,2,24.18
156,바이러스+치료제,TL5,38.2,2,23.58
157,바이러스+치료제,TL6,36.7,2,25.1
158,바이러스+치료제,TL7,36.8,2,24.48
159,바이러스+치료제,TL8,36.5,2,24.53
160,바이러스+치료제,TL9,37.2,2,26.35
161,바이러스+치료제,TL10,37.4,2,26.62
162,바이러스+치료제,TL11,37.7,2,24.0
163,바이러스+치료제,TH1,35.5,2,23.39
164,바이러스+치료제,TH2,35.5,2,22.36
165,바이러스+치료제,TH3,35.1,2,23.46
166,바이러스+치료제,TH4,36.5,2,24.18
167,바이러스+치료제,TH5,37.6,2,20.56
168,바이러스+치료제,TH6,36.6,2,24.76
169,바이러스+치료제,TH7,37.0,2,22.28
170,바이러스+치료제,TH8,37.0,2,24.13
171,바이러스+치료제,TH9,37.1,2,22.97
172,바이러스+치료제,TH10,37.3,2,27.76
173,바이러스+치료제,TH11,37.6,2,24.83
174,바이러스+치료제,TL1,34.8,2,19.01
175,바이러스+치료제,TL2,37.7,2,26.0
176,바이러스+치료제,TL3,36.3,2,22.0
177,바이러스+치료제,TL4,37.5,2,22.56
178,바이러스+치료제,TL5,37.2,2,25.78
179,바이러스+치료제,TL6,38.4,2,24.01
180,바이러스+치료제,TL7,37.8,2,27.39
181,바이러스+치료제,TL8,38.5,2,25.96
182,바이러스+치료제,TL9,37.3,2,24.62
183,바이러스+치료제,TL10,37.1,2,24.16
184,바이러스+치료제,TL11,37.9,2,26.22
185,바이러스+치료제,TH1,35.3,2,21.81
186,바이러스+치료제,TH2,35.8,2,25.01
187,바이러스+치료제,TH3,35.8,2,23.04
188,바이러스+치료제,TH4,37.2,2,24.03
189,바이러스+치료제,TH5,36.2,2,25.39
190,바이러스+치료제,TH6,38.1,2,23.69
191,바이러스+치료제,TH7,35.3,2,24.18
192,바이러스+치료제,TH8,37.6,2,23.7
193,바이러스+치료제,TH9,37.3,2,24.87
194,바이러스+치료제,TH10,37.0,2,21.82
195,바이러스+치료제,TH11,37.6,2,22.48
196,바이러스+치료제,TL1,35.3,2,19.8
197,바이러스+치료제,TL2,36.1,2,23.4
198,바이러스+치료제,TL3,36.1,2,23.9
199,바이러스+치료제,TL4,36.5,2,27.4
200,바이러스+치료제,TL5,36.5,2,25.7
201,바이러스+치료제,TL6,35.6,2,18.0
202,바이러스+치료제,TL7,36.5,2,21.8
203,바이러스+치료제,TL8,35.5,2,23.5
204,바이러스+치료제,TL9,36.2,2,19.8
205,바이러스+치료제,TL10,36.2,2,25.8
206,바이러스+치료제,TL1,35.9,3,26.0
207,바이러스+치료제,TL2,36.0,3,27.0
208,바이러스+치료제,TL3,36.3,3,27.22
209,바이러스+치료제,TL4,36.5,3,24.25
210,바이러스+치료제,TL5,36.4,3,24.98
211,바이러스+치료제,TL6,36.2,3,20.31
212,바이러스+치료제,TL7,37.0,3,26.97
213,바이러스+치료제,TL8,36.4,3,26.13
214,바이러스+치료제,TL9,36.3,3,25.64
215,바이러스+치료제,TL10,36.9,3,21.96
216,바이러스+치료제,TL11,35.3,3,27.88
217,바이러스+치료제,TL12,35.7,3,25.62
218,바이러스+치료제,TL13,35.4,3,26.8
219,바이러스+치료제,TL14,36.0,3,25.43
220,바이러스+치료제,TL15,35.1,3,30.46
221,바이러스+치료제,TL5,35.6,3,22.68
222,바이러스+치료제,TL6,36.8,3,25.11
223,바이러스+치료제,TL7,34.6,3,23.87
224,바이러스+치료제,TL8,36.4,3,24.28
225,바이러스+치료제,TL9,35.5,3,25.2
226,바이러스+치료제,TL10,35.9,3,26.0
227,바이러스+치료제,TL11,37.4,3,23.69
228,바이러스+치료제,TH4,35.2,3,22.98
229,바이러스+치료제,TH5,36.3,3,18.56
230,바이러스+치료제,TH6,36.2,3,24.0
231,바이러스+치료제,TH7,34.2,3,21.59
232,바이러스+치료제,TH8,36.4,3,24.15
233,바이러스+치료제,TH9,38.1,3,22.28
234,바이러스+치료제,TH10,36.2,3,26.73
235,바이러스+치료제,TL4,35.5,3,22.19
236,바이러스+치료제,TL5,33.9,3,23.69
237,바이러스+치료제,TL6,37.7,3,24.52
238,바이러스+치료제,TL7,36.3,3,26.02
239,바이러스+치료제,TL8,37.0,3,25.58
240,바이러스+치료제,TL9,35.9,3,24.12
241,바이러스+치료제,TL10,36.8,3,24.86
242,바이러스+치료제,TL11,35.8,3,25.4
243,바이러스+치료제,TH4,35.7,3,24.64
244,바이러스+치료제,TH5,36.3,3,24.18
245,바이러스+치료제,TH6,35.9,3,23.35
246,바이러스+치료제,TH7,36.5,3,24.51
247,바이러스+치료제,TH8,35.3,3,23.42
248,바이러스+치료제,TH9,36.8,3,25.26
249,바이러스+치료제,TH10,36.0,3,22.17
250,바이러스+치료제,TH11,35.7,3,22.54
251,바이러스+치료제,TL6,35.6,3,17.4
252,바이러스+치료제,TL7,36.3,3,20.3
253,바이러스+치료제,TL8,36.2,3,20.6
254,바이러스+치료제,TL9,35.8,3,18.9
255,바이러스+치료제,TL10,32.8,3,23.0
256,바이러스+치료제,TL1,35.8,4,26.18
257,바이러스+치료제,TL2,35.9,4,26.83
258,바이러스+치료제,TL3,35.0,4,27.27
259,바이러스+치료제,TL4,35.4,4,25.0
260,바이러스+치료제,TL5,35.4,4,25.31
261,바이러스+치료제,TL6,35.9,4,21.0
262,바이러스+치료제,TL7,36.0,4,27.02
263,바이러스+치료제,TL8,35.6,4,26.47
264,바이러스+치료제,TL9,34.4,4,25.07
265,바이러스+치료제,TL10,35.7,4,22.46
266,바이러스+치료제,TL11,35.0,4,28.42
267,바이러스+치료제,TL12,35.0,4,26.19
268,바이러스+치료제,TL13,35.9,4,27.74
269,바이러스+치료제,TL14,35.8,4,25.51
270,바이러스+치료제,TL15,34.8,4,31.03
271,바이러스+치료제,TL5,37.3,4,21.01
272,바이러스+치료제,TL6,34.3,4,22.61
273,바이러스+치료제,TL7,33.6,4,21.85
274,바이러스+치료제,TL8,38.0,4,24.19
275,바이러스+치료제,TL9,35.5,4,22.64
276,바이러스+치료제,TL10,35.8,4,22.79
277,바이러스+치료제,TL11,36.7,4,22.18
278,바이러스+치료제,TH4,36.4,4,20.34
279,바이러스+치료제,TH5,37.7,4,17.0
280,바이러스+치료제,TH6,36.0,4,21.69
281,바이러스+치료제,TH7,36.5,4,20.64
282,바이러스+치료제,TH8,37.4,4,22.68
283,바이러스+치료제,TH9,36.3,4,20.84
284,바이러스+치료제,TH10,33.4,4,22.49
285,바이러스+치료제,TL4,35.4,4,19.85
286,바이러스+치료제,TL5,35.9,4,21.72
287,바이러스+치료제,TL6,38.1,4,23.72
288,바이러스+치료제,TL7,37.1,4,23.67
289,바이러스+치료제,TL8,38.0,4,22.87
290,바이러스+치료제,TL9,36.3,4,22.0
291,바이러스+치료제,TL10,37.3,4,24.71
292,바이러스+치료제,TL11,35.5,4,22.36
293,바이러스+치료제,TH4,36.2,4,20.99
294,바이러스+치료제,TH5,32.1,4,21.52
295,바이러스+치료제,TH6,38.0,4,21.35
296,바이러스+치료제,TH7,38.0,4,23.99
297,바이러스+치료제,TH8,38.3,4,22.15
298,바이러스+치료제,TH9,38.7,4,24.64
299,바이러스+치료제,TH10,35.4,4,20.67
300,바이러스+치료제,TH11,35.9,4,20.15
