,Group,Sample,BW,dpi,BT
144,음성 대조군,N4,26.73,7,35.9
145,음성 대조군,N1,25.8,7,37.7
146,음성 대조군,N2,28.9,7,37.4
147,음성 대조군,N3,26.3,7,38.3
148,음성 대조군,N1,25.5,7,36.7
149,음성 대조군,N2,22.8,7,35.6
150,음성 대조군,N3,23.6,7,37.2
151,음성 대조군,N4,24.7,7,37.5
152,음성 대조군,N1,23.36,8,36.0
153,음성 대조군,N2,25.13,8,35.8
154,음성 대조군,N3,23.0,8,35.8
155,음성 대조군,N4,25.14,8,35.6
156,음성 대조군,N1,23.25,9,37.5
157,음성 대조군,N2,25.28,9,37.5
158,음성 대조군,N3,23.03,9,37.7
159,음성 대조군,N4,25.89,9,37.9
160,음성 대조군,N1,23.0,10,36.2
161,음성 대조군,N2,25.16,10,36.9
162,음성 대조군,N3,20.99,10,36.6
163,음성 대조군,N4,25.91,10,36.3
164,음성 대조군,N1,23.1,11,35.6
165,음성 대조군,N2,25.03,11,35.9
166,음성 대조군,N3,22.89,11,36.1
167,음성 대조군,N4,25.64,11,35.9
168,음성 대조군,N1,23.38,12,35.1
169,음성 대조군,N2,24.97,12,35.1
170,음성 대조군,N3,23.46,12,35.4
171,음성 대조군,N4,26.1,12,35.7
172,음성 대조군,N1,23.17,13,36.1
173,음성 대조군,N2,24.81,13,35.9
174,음성 대조군,N3,23.0,13,35.0
175,음성 대조군,N4,25.84,13,37.4
176,음성 대조군,N1,23.66,14,35.9
177,음성 대조군,N2,25.0,14,37.0
178,음성 대조군,N3,23.42,14,35.8
179,음성 대조군,N4,26.96,14,35.5
