,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
333,바이러스+치료제,TL9,34.8,5,20.79,23.819815700455578,23.649159252064397,23.99047214884676
270,바이러스+치료제,TL15,34.8,4,31.03,23.819815700455578,23.649159252064397,23.99047214884676
139,바이러스+치료제,TL2,34.9,2,26.6,23.871064799407453,23.7012144019318,24.040915196883105
316,바이러스+치료제,TL11,34.9,5,28.32,23.871064799407453,23.7012144019318,24.040915196883105
374,바이러스+치료제,TL11,34.9,7,28.65,23.871064799407453,23.7012144019318,24.040915196883105
408,바이러스+치료제,TL15,34.9,11,31.24,23.871064799407453,23.7012144019318,24.040915196883105
60,바이러스+치료제,TL2,34.9,0,24.6,23.871064799407453,23.7012144019318,24.040915196883105
389,바이러스+치료제,TL11,34.9,8,25.53,23.871064799407453,23.7012144019318,24.040915196883105
393,바이러스+치료제,TL15,35.0,8,28.2,23.92231389835933,23.753133601067777,24.091494195650885
70,바이러스+치료제,TL2,35.0,1,27.02,23.92231389835933,23.753133601067777,24.091494195650885
258,바이러스+치료제,TL3,35.0,4,27.27,23.92231389835933,23.753133601067777,24.091494195650885
266,바이러스+치료제,TL11,35.0,4,28.42,23.92231389835933,23.753133601067777,24.091494195650885
267,바이러스+치료제,TL12,35.0,4,26.19,23.92231389835933,23.753133601067777,24.091494195650885
77,바이러스+치료제,TL9,35.1,1,25.24,23.973562997311205,23.80491522891637,24.14221076570604
320,바이러스+치료제,TL15,35.1,5,30.7,23.973562997311205,23.80491522891637,24.14221076570604
415,바이러스+치료제,TL12,35.1,13,25.99,23.973562997311205,23.80491522891637,24.14221076570604
165,바이러스+치료제,TH3,35.1,2,23.46,23.973562997311205,23.80491522891637,24.14221076570604
220,바이러스+치료제,TL15,35.1,3,30.46,23.973562997311205,23.80491522891637,24.14221076570604
71,바이러스+치료제,TL3,35.1,1,26.97,23.973562997311205,23.80491522891637,24.14221076570604
350,바이러스+치료제,TL11,35.1,6,28.36,23.973562997311205,23.80491522891637,24.14221076570604
322,바이러스+치료제,TH5,35.2,5,16.27,24.024812096263084,23.856557979221826,24.19306621330434
228,바이러스+치료제,TH4,35.2,3,22.98,24.024812096263084,23.856557979221826,24.19306621330434
69,바이러스+치료제,TL1,35.2,1,26.33,24.024812096263084,23.856557979221826,24.19306621330434
370,바이러스+치료제,TL7,35.2,7,26.27,24.024812096263084,23.856557979221826,24.19306621330434
318,바이러스+치료제,TL13,35.3,5,27.37,24.076061195214955,23.90806087574506,24.244061514684848
348,바이러스+치료제,TL9,35.3,6,26.27,24.076061195214955,23.90806087574506,24.244061514684848
378,바이러스+치료제,TL15,35.3,7,31.22,24.076061195214955,23.90806087574506,24.244061514684848
196,바이러스+치료제,TL1,35.3,2,19.8,24.076061195214955,23.90806087574506,24.244061514684848
247,바이러스+치료제,TH8,35.3,3,23.42,24.076061195214955,23.90806087574506,24.244061514684848
216,바이러스+치료제,TL11,35.3,3,27.88,24.076061195214955,23.90806087574506,24.244061514684848
313,바이러스+치료제,TL8,35.3,5,26.45,24.076061195214955,23.90806087574506,24.244061514684848
354,바이러스+치료제,TL15,35.3,6,30.66,24.076061195214955,23.90806087574506,24.244061514684848
185,바이러스+치료제,TH1,35.3,2,21.81,24.076061195214955,23.90806087574506,24.244061514684848
191,바이러스+치료제,TH7,35.3,2,24.18,24.076061195214955,23.90806087574506,24.244061514684848
319,바이러스+치료제,TL14,35.4,5,25.62,24.127310294166833,23.95942328422706,24.295197304106605
369,바이러스+치료제,TL6,35.4,7,20.23,24.127310294166833,23.95942328422706,24.295197304106605
218,바이러스+치료제,TL13,35.4,3,26.8,24.127310294166833,23.95942328422706,24.295197304106605
314,바이러스+치료제,TL9,35.4,5,25.76,24.127310294166833,23.95942328422706,24.295197304106605
312,바이러스+치료제,TL7,35.4,5,26.76,24.127310294166833,23.95942328422706,24.295197304106605
260,바이러스+치료제,TL5,35.4,4,25.31,24.127310294166833,23.95942328422706,24.295197304106605
351,바이러스+치료제,TL12,35.4,6,25.32,24.127310294166833,23.95942328422706,24.295197304106605
259,바이러스+치료제,TL4,35.4,4,25.0,24.127310294166833,23.95942328422706,24.295197304106605
146,바이러스+치료제,TL9,35.4,2,26.04,24.127310294166833,23.95942328422706,24.295197304106605
140,바이러스+치료제,TL3,35.4,2,26.67,24.127310294166833,23.95942328422706,24.295197304106605
285,바이러스+치료제,TL4,35.4,4,19.85,24.127310294166833,23.95942328422706,24.295197304106605
405,바이러스+치료제,TL12,35.4,11,25.76,24.127310294166833,23.95942328422706,24.295197304106605
299,바이러스+치료제,TH10,35.4,4,20.67,24.127310294166833,23.95942328422706,24.295197304106605
225,바이러스+치료제,TL9,35.5,3,25.2,24.178559393118707,24.01064492026147,24.346473865975945
163,바이러스+치료제,TH1,35.5,2,23.39,24.178559393118707,24.01064492026147,24.346473865975945
