,Group,Sample,BT,dpi,BW,pred_y,CI_lower,CI_upper
222,바이러스+치료제,TL6,36.8,3,25.11,24.844797679493094,24.664193809609223,25.025401549376966
397,바이러스+치료제,TL14,36.8,9,24.36,24.844797679493094,24.664193809609223,25.025401549376966
241,바이러스+치료제,TL10,36.8,3,24.86,24.844797679493094,24.664193809609223,25.025401549376966
342,바이러스+치료제,TH10,36.9,5,19.04,24.89604677844497,24.713594268350654,25.078499288539284
97,바이러스+치료제,TH3,36.9,1,23.77,24.89604677844497,24.713594268350654,25.078499288539284
48,바이러스+치료제,TH1,36.9,0,22.67,24.89604677844497,24.713594268350654,25.078499288539284
34,바이러스+치료제,TH9,36.9,0,23.84,24.89604677844497,24.713594268350654,25.078499288539284
110,바이러스+치료제,TL5,36.9,1,36.45,24.89604677844497,24.713594268350654,25.078499288539284
102,바이러스+치료제,TH8,36.9,1,24.96,24.89604677844497,24.713594268350654,25.078499288539284
215,바이러스+치료제,TL10,36.9,3,21.96,24.89604677844497,24.713594268350654,25.078499288539284
212,바이러스+치료제,TL7,37.0,3,26.97,24.947295877396847,24.762885030681478,25.131706724112217
170,바이러스+치료제,TH8,37.0,2,24.13,24.947295877396847,24.762885030681478,25.131706724112217
169,바이러스+치료제,TH7,37.0,2,22.28,24.947295877396847,24.762885030681478,25.131706724112217
239,바이러스+치료제,TL8,37.0,3,25.58,24.947295877396847,24.762885030681478,25.131706724112217
111,바이러스+치료제,TL6,37.0,1,24.19,24.947295877396847,24.762885030681478,25.131706724112217
402,바이러스+치료제,TL14,37.0,10,25.0,24.947295877396847,24.762885030681478,25.131706724112217
49,바이러스+치료제,TH2,37.0,0,25.42,24.947295877396847,24.762885030681478,25.131706724112217
132,바이러스+치료제,TL5,37.0,1,25.9,24.947295877396847,24.762885030681478,25.131706724112217
194,바이러스+치료제,TH10,37.0,2,21.82,24.947295877396847,24.762885030681478,25.131706724112217
330,바이러스+치료제,TL6,37.0,5,22.36,24.947295877396847,24.762885030681478,25.131706724112217
50,바이러스+치료제,TH3,37.0,0,24.0,24.947295877396847,24.762885030681478,25.131706724112217
109,바이러스+치료제,TL4,37.1,1,23.36,24.99854497634872,24.81206955261487,25.185020400082575
114,바이러스+치료제,TL9,37.1,1,25.37,24.99854497634872,24.81206955261487,25.185020400082575
309,바이러스+치료제,TL4,37.1,5,24.93,24.99854497634872,24.81206955261487,25.185020400082575
119,바이러스+치료제,TH3,37.1,1,23.79,24.99854497634872,24.81206955261487,25.185020400082575
308,바이러스+치료제,TL3,37.1,5,26.57,24.99854497634872,24.81206955261487,25.185020400082575
171,바이러스+치료제,TH9,37.1,2,22.97,24.99854497634872,24.81206955261487,25.185020400082575
96,바이러스+치료제,TH2,37.1,1,23.04,24.99854497634872,24.81206955261487,25.185020400082575
91,바이러스+치료제,TL8,37.1,1,25.35,24.99854497634872,24.81206955261487,25.185020400082575
183,바이러스+치료제,TL10,37.1,2,24.16,24.99854497634872,24.81206955261487,25.185020400082575
288,바이러스+치료제,TL7,37.1,4,23.67,24.99854497634872,24.81206955261487,25.185020400082575
20,바이러스+치료제,TL6,37.1,0,26.53,24.99854497634872,24.81206955261487,25.185020400082575
137,바이러스+치료제,TL10,37.1,1,27.7,24.99854497634872,24.81206955261487,25.185020400082575
143,바이러스+치료제,TL6,37.1,2,19.99,24.99854497634872,24.81206955261487,25.185020400082575
306,바이러스+치료제,TL1,37.1,5,25.46,24.99854497634872,24.81206955261487,25.185020400082575
134,바이러스+치료제,TL7,37.1,1,22.7,24.99854497634872,24.81206955261487,25.185020400082575
104,바이러스+치료제,TH10,37.2,1,28.36,25.0497940753006,24.861151322322815,25.238436828278385
106,바이러스+치료제,TL1,37.2,1,20.14,25.0497940753006,24.861151322322815,25.238436828278385
399,바이러스+치료제,TL11,37.2,10,27.85,25.0497940753006,24.861151322322815,25.238436828278385
401,바이러스+치료제,TL13,37.2,10,27.3,25.0497940753006,24.861151322322815,25.238436828278385
1,바이러스+치료제,TL2,37.2,0,26.45,25.0497940753006,24.861151322322815,25.238436828278385
99,바이러스+치료제,TH5,37.2,1,21.0,25.0497940753006,24.861151322322815,25.238436828278385
160,바이러스+치료제,TL9,37.2,2,26.35,25.0497940753006,24.861151322322815,25.238436828278385
188,바이러스+치료제,TH4,37.2,2,24.03,25.0497940753006,24.861151322322815,25.238436828278385
120,바이러스+치료제,TH4,37.2,1,25.19,25.0497940753006,24.861151322322815,25.238436828278385
135,바이러스+치료제,TL8,37.2,1,24.1,25.0497940753006,24.861151322322815,25.238436828278385
178,바이러스+치료제,TL5,37.2,2,25.78,25.0497940753006,24.861151322322815,25.238436828278385
291,바이러스+치료제,TL10,37.3,4,24.71,25.10104317425247,24.910133839307235,25.291952509197706
94,바이러스+치료제,TL11,37.3,1,23.57,25.10104317425247,24.910133839307235,25.291952509197706
271,바이러스+치료제,TL5,37.3,4,21.01,25.10104317425247,24.910133839307235,25.291952509197706
21,바이러스+치료제,TL7,37.3,0,27.3,25.10104317425247,24.910133839307235,25.291952509197706
338,바이러스+치료제,TH6,37.3,5,20.68,25.10104317425247,24.910133839307235,25.291952509197706
193,바이러스+치료제,TH9,37.3,2,24.87,25.10104317425247,24.910133839307235,25.291952509197706
22,바이러스+치료제,TL8,37.3,0,26.0,25.10104317425247,24.910133839307235,25.291952509197706
100,바이러스+치료제,TH6,37.3,1,25.6,25.10104317425247,24.910133839307235,25.291952509197706
182,바이러스+치료제,TL9,37.3,2,24.62,25.10104317425247,24.910133839307235,25.291952509197706
172,바이러스+치료제,TH10,37.3,2,27.76,25.10104317425247,24.910133839307235,25.291952509197706
130,바이러스+치료제,TL3,37.3,1,25.5,25.10104317425247,24.910133839307235,25.291952509197706
334,바이러스+치료제,TL10,37.3,5,23.17,25.10104317425247,24.910133839307235,25.291952509197706
153,바이러스+치료제,TL1,37.3,2,24.84,25.10104317425247,24.910133839307235,25.291952509197706
282,바이러스+치료제,TH8,37.4,4,22.68,25.15229227320435,24.959020595477625,25.345563950931073
161,바이러스+치료제,TL10,37.4,2,26.62,25.15229227320435,24.959020595477625,25.345563950931073
227,바이러스+치료제,TL11,37.4,3,23.69,25.15229227320435,24.959020595477625,25.345563950931073
53,바이러스+치료제,TH6,37.5,0,25.39,25.203541372156227,25.00781505819397,25.399267686118485
58,바이러스+치료제,TH11,37.5,0,23.8,25.203541372156227,25.00781505819397,25.399267686118485
128,바이러스+치료제,TL1,37.5,1,20.9,25.203541372156227,25.00781505819397,25.399267686118485
0,바이러스+치료제,TL1,37.5,0,26.51,25.203541372156227,25.00781505819397,25.399267686118485
177,바이러스+치료제,TL4,37.5,2,22.56,25.203541372156227,25.00781505819397,25.399267686118485
310,바이러스+치료제,TL5,37.5,5,25.17,25.203541372156227,25.00781505819397,25.399267686118485
36,바이러스+치료제,TH11,37.6,0,26.0,25.2547904711081,25.056520655283613,25.45306028693259
195,바이러스+치료제,TH11,37.6,2,22.48,25.2547904711081,25.056520655283613,25.45306028693259
39,바이러스+치료제,TL3,37.6,0,22.66,25.2547904711081,25.056520655283613,25.45306028693259
8,바이러스+치료제,TL9,37.6,0,24.99,25.2547904711081,25.056520655283613,25.45306028693259
101,바이러스+치료제,TH7,37.6,1,24.35,25.2547904711081,25.056520655283613,25.45306028693259
129,바이러스+치료제,TL2,37.6,1,24.6,25.2547904711081,25.056520655283613,25.45306028693259
192,바이러스+치료제,TH8,37.6,2,23.7,25.2547904711081,25.056520655283613,25.45306028693259
167,바이러스+치료제,TH5,37.6,2,20.56,25.2547904711081,25.056520655283613,25.45306028693259
84,바이러스+치료제,TL1,37.6,1,25.53,25.2547904711081,25.056520655283613,25.45306028693259
2,바이러스+치료제,TL3,37.6,0,26.64,25.2547904711081,25.056520655283613,25.45306028693259
14,바이러스+치료제,TL15,37.6,0,30.97,25.2547904711081,25.056520655283613,25.45306028693259
13,바이러스+치료제,TL14,37.6,0,25.25,25.2547904711081,25.056520655283613,25.45306028693259
173,바이러스+치료제,TH11,37.6,2,24.83,25.2547904711081,25.056520655283613,25.45306028693259
131,바이러스+치료제,TL4,37.7,1,28.1,25.30603957005998,25.105140761997863,25.506938378122097
175,바이러스+치료제,TL2,37.7,2,26.0,25.30603957005998,25.105140761997863,25.506938378122097
115,바이러스+치료제,TL10,37.7,1,24.85,25.30603957005998,25.105140761997863,25.506938378122097
11,바이러스+치료제,TL12,37.7,0,25.85,25.30603957005998,25.105140761997863,25.506938378122097
117,바이러스+치료제,TH1,37.7,1,22.0,25.30603957005998,25.105140761997863,25.506938378122097
419,바이러스+치료제,TL11,37.7,14,28.89,25.30603957005998,25.105140761997863,25.506938378122097
279,바이러스+치료제,TH5,37.7,4,17.0,25.30603957005998,25.105140761997863,25.506938378122097
237,바이러스+치료제,TL6,37.7,3,24.52,25.30603957005998,25.105140761997863,25.506938378122097
98,바이러스+치료제,TH4,37.7,1,24.3,25.30603957005998,25.105140761997863,25.506938378122097
162,바이러스+치료제,TL11,37.7,2,24.0,25.30603957005998,25.105140761997863,25.506938378122097
4,바이러스+치료제,TL5,37.7,0,25.58,25.30603957005998,25.105140761997863,25.506938378122097
180,바이러스+치료제,TL7,37.8,2,27.39,25.35728866901185,25.153678689840003,25.5608986481837
9,바이러스+치료제,TL10,37.8,0,21.89,25.35728866901185,25.153678689840003,25.5608986481837
12,바이러스+치료제,TL13,37.8,0,27.54,25.35728866901185,25.153678689840003,25.5608986481837
45,바이러스+치료제,TL9,37.8,0,26.36,25.35728866901185,25.153678689840003,25.5608986481837
5,바이러스+치료제,TL6,37.8,0,19.97,25.35728866901185,25.153678689840003,25.5608986481837
125,바이러스+치료제,TH9,37.8,1,24.78,25.35728866901185,25.153678689840003,25.5608986481837
89,바이러스+치료제,TL6,37.8,1,25.39,25.35728866901185,25.153678689840003,25.5608986481837
57,바이러스+치료제,TH10,37.8,0,23.55,25.35728866901185,25.153678689840003,25.5608986481837
105,바이러스+치료제,TH11,37.9,1,25.04,25.40853776796373,25.20213767716962,25.614937858757838
184,바이러스+치료제,TL11,37.9,2,26.22,25.40853776796373,25.20213767716962,25.614937858757838
44,바이러스+치료제,TL8,37.9,0,26.68,25.40853776796373,25.20213767716962,25.614937858757838
90,바이러스+치료제,TL7,37.9,1,26.27,25.40853776796373,25.20213767716962,25.614937858757838
126,바이러스+치료제,TH10,37.9,1,23.02,25.40853776796373,25.20213767716962,25.614937858757838
289,바이러스+치료제,TL8,38.0,4,22.87,25.459786866915604,25.250520881468493,25.669052852362714
95,바이러스+치료제,TH1,38.0,1,25.0,25.459786866915604,25.250520881468493,25.669052852362714
124,바이러스+치료제,TH8,38.0,1,23.8,25.459786866915604,25.250520881468493,25.669052852362714
127,바이러스+치료제,TH11,38.0,1,23.53,25.459786866915604,25.250520881468493,25.669052852362714
6,바이러스+치료제,TL7,38.0,0,27.01,25.459786866915604,25.250520881468493,25.669052852362714
7,바이러스+치료제,TL8,38.0,0,26.01,25.459786866915604,25.250520881468493,25.669052852362714
3,바이러스+치료제,TL4,38.0,0,24.39,25.459786866915604,25.250520881468493,25.669052852362714
295,바이러스+치료제,TH6,38.0,4,21.35,25.459786866915604,25.250520881468493,25.669052852362714
274,바이러스+치료제,TL8,38.0,4,24.19,25.459786866915604,25.250520881468493,25.669052852362714
296,바이러스+치료제,TH7,38.0,4,23.99,25.459786866915604,25.250520881468493,25.669052852362714
23,바이러스+치료제,TL9,38.0,0,27.84,25.459786866915604,25.250520881468493,25.669052852362714
107,바이러스+치료제,TL2,38.1,1,26.0,25.51103596586748,25.298831373140647,25.723240558594316
287,바이러스+치료제,TL6,38.1,4,23.72,25.51103596586748,25.298831373140647,25.723240558594316
233,바이러스+치료제,TH9,38.1,3,22.28,25.51103596586748,25.298831373140647,25.723240558594316
190,바이러스+치료제,TH6,38.1,2,23.69,25.51103596586748,25.298831373140647,25.723240558594316
92,바이러스+치료제,TL9,38.1,1,26.47,25.51103596586748,25.298831373140647,25.723240558594316
93,바이러스+치료제,TL10,38.2,1,27.16,25.562285064819356,25.347072130711183,25.77749799892753
43,바이러스+치료제,TL7,38.2,0,27.83,25.562285064819356,25.347072130711183,25.77749799892753
37,바이러스+치료제,TL1,38.2,0,21.34,25.562285064819356,25.347072130711183,25.77749799892753
156,바이러스+치료제,TL5,38.2,2,23.58,25.562285064819356,25.347072130711183,25.77749799892753
297,바이러스+치료제,TH8,38.3,4,22.15,25.61353416377123,25.39524603728604,25.831822290256422
19,바이러스+치료제,TL5,38.3,0,25.44,25.61353416377123,25.39524603728604,25.831822290256422
122,바이러스+치료제,TH6,38.3,1,24.89,25.61353416377123,25.39524603728604,25.831822290256422
10,바이러스+치료제,TL11,38.3,0,28.63,25.61353416377123,25.39524603728604,25.831822290256422
85,바이러스+치료제,TL2,38.3,1,25.05,25.61353416377123,25.39524603728604,25.831822290256422
113,바이러스+치료제,TL8,38.4,1,25.26,25.66478326272311,25.44335587813562,25.886210647310598
121,바이러스+치료제,TH5,38.4,1,26.86,25.66478326272311,25.44335587813562,25.886210647310598
116,바이러스+치료제,TL11,38.4,1,26.02,25.66478326272311,25.44335587813562,25.886210647310598
179,바이러스+치료제,TL6,38.4,2,24.01,25.66478326272311,25.44335587813562,25.886210647310598
181,바이러스+치료제,TL8,38.5,2,25.96,25.716032361674984,25.491404339269106,25.94066038408086
46,바이러스+치료제,TL10,38.5,0,25.68,25.716032361674984,25.491404339269106,25.94066038408086
298,바이러스+치료제,TH9,38.7,4,24.64,25.818530559578736,25.587327367492108,26.049733751665364
112,바이러스+치료제,TL7,38.8,1,27.02,25.86977965853061,25.63520680884976,26.104352508211463
47,바이러스+치료제,TL11,38.8,0,27.59,25.86977965853061,25.63520680884976,26.104352508211463
88,바이러스+치료제,TL5,38.8,1,24.88,25.86977965853061,25.63520680884976,26.104352508211463
38,바이러스+치료제,TL2,38.9,0,27.22,25.921028757482485,25.683034621194164,26.159022893770807
