,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
451,바이러스 접종군,V6,19.7,6,28.6,20.64237156543928,20.326363331969187,20.95837979890937
453,바이러스 접종군,V2,19.7,6,28.6,20.64237156543928,20.326363331969187,20.95837979890937
450,바이러스 접종군,V5,19.7,6,28.6,20.64237156543928,20.326363331969187,20.95837979890937
449,바이러스 접종군,V4,19.7,6,28.6,20.64237156543928,20.326363331969187,20.95837979890937
355,바이러스 접종군,V11,20.16,5,30.2,21.46235714866929,21.20263533429605,21.722078963042527
468,바이러스 접종군,V7,25.45,7,31.3,22.02609723713993,21.80144069291923,22.250753781360626
422,바이러스 접종군,V12,18.06,6,31.8,22.282342731899305,22.072161386826625,22.49252407697198
521,바이러스 접종군,V5,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
522,바이러스 접종군,V6,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
523,바이러스 접종군,V7,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
524,바이러스 접종군,V8,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
525,바이러스 접종군,V9,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
520,바이러스 접종군,V4,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
311,바이러스 접종군,V8,18.9,4,31.9,22.333591830851176,22.12616888930591,22.541014772396444
519,바이러스 접종군,V3,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
517,바이러스 접종군,V1,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
516,바이러스 접종군,V10,18.0,7,31.9,22.333591830851176,22.12616888930591,22.541014772396444
518,바이러스 접종군,V2,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
526,바이러스 접종군,V10,18.0,8,31.9,22.333591830851176,22.12616888930591,22.541014772396444
350,바이러스 접종군,V6,19.4,5,32.3,22.53858822665868,22.34167936863274,22.735497084684624
351,바이러스 접종군,V7,20.26,5,32.3,22.53858822665868,22.34167936863274,22.735497084684624
365,바이러스 접종군,V6,19.4,5,32.3,22.53858822665868,22.34167936863274,22.735497084684624
366,바이러스 접종군,V7,20.26,5,32.3,22.53858822665868,22.34167936863274,22.735497084684624
309,바이러스 접종군,V6,20.0,4,32.7,22.743584622466187,22.556255153238723,22.93091409169365
423,바이러스 접종군,V13,20.21,6,32.7,22.743584622466187,22.556255153238723,22.93091409169365
352,바이러스 접종군,V8,22.32,5,33.0,22.89733191932181,22.71648368088467,23.07818015775896
367,바이러스 접종군,V8,22.32,5,33.0,22.89733191932181,22.71648368088467,23.07818015775896
474,바이러스 접종군,V13,24.46,7,33.2,22.999830117225567,22.822930403634984,23.17672983081615
45,바이러스 접종군,V6,25.5,0,33.3,23.05107921617744,22.876034375449223,23.22612405690565
301,바이러스 접종군,V8,21.39,4,33.4,23.10232831512932,22.929055309480464,23.27560132077817
286,바이러스 접종군,V8,21.38,4,33.4,23.10232831512932,22.929055309480464,23.27560132077817
246,바이러스 접종군,V9,17.2,3,33.5,23.15357741408119,22.98199063332144,23.32516419484094
357,바이러스 접종군,V13,20.73,5,33.6,23.20482651303307,23.034837799289225,23.374815226776917
381,바이러스 접종군,V2,20.9,5,33.7,23.256075611984944,23.087594298798685,23.424556925171203
363,바이러스 접종군,V4,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
362,바이러스 접종군,V3,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
361,바이러스 접종군,V2,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
360,바이러스 접종군,V1,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
359,바이러스 접종군,V15,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
364,바이러스 접종군,V5,21.58,5,33.8,23.30732471093682,23.14025767765517,23.474391744218465
44,바이러스 접종군,V5,25.3,0,33.9,23.358573809888696,23.192825552130184,23.52432206764721
42,바이러스 접종군,V3,22.3,0,34.0,23.40982290884057,23.245295625649245,23.574350192031897
556,바이러스 접종군,V15,28.1,13,34.0,23.40982290884057,23.245295625649245,23.574350192031897
458,바이러스 접종군,V7,19.0,6,34.3,23.5635702056962,23.40209774194264,23.72504266944976
310,바이러스 접종군,V7,16.3,4,34.3,23.5635702056962,23.40209774194264,23.72504266944976
298,바이러스 접종군,V5,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
297,바이러스 접종군,V4,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
296,바이러스 접종군,V3,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
295,바이러스 접종군,V2,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
65,바이러스 접종군,V10,22.8,0,34.5,23.66606840359995,23.50610685792634,23.82602994927356
61,바이러스 접종군,V6,23.2,0,34.5,23.66606840359995,23.50610685792634,23.82602994927356
294,바이러스 접종군,V1,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
62,바이러스 접종군,V7,22.7,0,34.5,23.66606840359995,23.50610685792634,23.82602994927356
293,바이러스 접종군,V15,22.77,4,34.5,23.66606840359995,23.50610685792634,23.82602994927356
43,바이러스 접종군,V4,29.2,0,34.6,23.717317502551825,23.557948930361626,23.876686074742025
40,바이러스 접종군,V1,24.9,0,34.6,23.717317502551825,23.557948930361626,23.876686074742025
561,바이러스 접종군,V15,28.2,14,34.7,23.768566601503704,23.60968098814151,23.927452214865895
394,바이러스 접종군,V9,22.7,5,34.7,23.768566601503704,23.60968098814151,23.927452214865895
292,바이러스 접종군,V14,23.01,4,34.7,23.768566601503704,23.60968098814151,23.927452214865895
393,바이러스 접종군,V8,21.3,5,34.8,23.819815700455575,23.66130202568616,23.978329375224995
247,바이러스 접종군,V10,20.5,3,34.8,23.819815700455575,23.66130202568616,23.978329375224995
248,바이러스 접종군,V1,20.5,3,34.8,23.819815700455575,23.66130202568616,23.978329375224995
515,바이러스 접종군,V9,19.6,7,34.8,23.819815700455575,23.66130202568616,23.978329375224995
290,바이러스 접종군,V12,21.58,4,34.9,23.871064799407453,23.71281126021096,24.029318338603943
300,바이러스 접종군,V7,21.33,4,34.9,23.871064799407453,23.71281126021096,24.029318338603943
285,바이러스 접종군,V7,21.33,4,34.9,23.871064799407453,23.71281126021096,24.029318338603943
41,바이러스 접종군,V2,26.0,0,34.9,23.871064799407453,23.71281126021096,24.029318338603943
392,바이러스 접종군,V7,20.3,5,34.9,23.871064799407453,23.71281126021096,24.029318338603943
46,바이러스 접종군,V7,21.9,0,35.0,23.92231389835933,23.76420813985759,24.08041965686107
353,바이러스 접종군,V9,22.1,5,35.0,23.92231389835933,23.76420813985759,24.08041965686107
368,바이러스 접종군,V9,22.1,5,35.0,23.92231389835933,23.76420813985759,24.08041965686107
181,바이러스 접종군,V10,23.4,2,35.1,23.973562997311205,23.81549234950304,24.13163364511937
47,바이러스 접종군,V8,24.4,0,35.1,23.973562997311205,23.81549234950304,24.13163364511937
15,바이러스 접종군,V1,24.29,0,35.1,23.973562997311205,23.81549234950304,24.13163364511937
30,바이러스 접종군,V1,24.29,0,35.1,23.973562997311205,23.81549234950304,24.13163364511937
31,바이러스 접종군,V2,24.18,0,35.2,24.024812096263084,23.86666381410529,24.182960378420876
16,바이러스 접종군,V2,24.18,0,35.2,24.024812096263084,23.86666381410529,24.182960378420876
