,Group,Sample,BW,dpi,BT,pred_y,CI_lower,CI_upper
15,음성 대조군,N1,24.5,0,36.7,24.79354858054122,24.732221441351122,24.854875719731318
148,음성 대조군,N1,25.5,7,36.7,24.79354858054122,24.732221441351122,24.854875719731318
19,음성 대조군,N1,23.86,1,36.7,24.79354858054122,24.732221441351122,24.854875719731318
56,음성 대조군,N4,24.5,2,36.7,24.79354858054122,24.732221441351122,24.854875719731318
125,음성 대조군,N4,26.32,6,36.7,24.79354858054122,24.732221441351122,24.854875719731318
69,음성 대조군,N1,23.4,3,36.8,24.844797679493094,24.781292570874903,24.908302788111286
53,음성 대조군,N1,24.4,2,36.8,24.844797679493094,24.781292570874903,24.908302788111286
130,음성 대조군,N2,23.0,6,36.8,24.844797679493094,24.781292570874903,24.908302788111286
39,음성 대조군,N2,24.57,2,36.8,24.844797679493094,24.781292570874903,24.908302788111286
121,음성 대조군,N4,26.32,6,36.8,24.844797679493094,24.781292570874903,24.908302788111286
132,음성 대조군,N4,24.8,6,36.8,24.844797679493094,24.781292570874903,24.908302788111286
141,음성 대조군,N1,29.3,7,36.9,24.89604677844497,24.82958993919158,24.962503617698356
137,음성 대조군,N1,29.3,7,36.9,24.89604677844497,24.82958993919158,24.962503617698356
58,음성 대조군,N2,24.27,3,36.9,24.89604677844497,24.82958993919158,24.962503617698356
94,음성 대조군,N4,24.5,4,36.9,24.89604677844497,24.82958993919158,24.962503617698356
71,음성 대조군,N3,25.7,3,36.9,24.89604677844497,24.82958993919158,24.962503617698356
161,음성 대조군,N2,25.16,10,36.9,24.89604677844497,24.82958993919158,24.962503617698356
34,음성 대조군,N1,24.1,1,36.9,24.89604677844497,24.82958993919158,24.962503617698356
177,음성 대조군,N2,25.0,14,37.0,24.947295877396847,24.877211242917753,25.017380511875942
93,음성 대조군,N3,23.2,4,37.0,24.947295877396847,24.877211242917753,25.017380511875942
124,음성 대조군,N3,23.41,6,37.0,24.947295877396847,24.877211242917753,25.017380511875942
31,음성 대조군,N1,23.4,1,37.0,24.947295877396847,24.877211242917753,25.017380511875942
120,음성 대조군,N3,23.42,6,37.0,24.947295877396847,24.877211242917753,25.017380511875942
108,음성 대조군,N2,27.8,5,37.0,24.947295877396847,24.877211242917753,25.017380511875942
9,음성 대조군,N2,24.11,0,37.1,24.99854497634872,24.92425545932134,25.072834493376103
5,음성 대조군,N2,24.11,0,37.1,24.99854497634872,24.92425545932134,25.072834493376103
20,음성 대조군,N2,24.66,1,37.1,24.99854497634872,24.92425545932134,25.072834493376103
22,음성 대조군,N4,25.97,1,37.1,24.99854497634872,24.92425545932134,25.072834493376103
50,음성 대조군,N1,24.0,2,37.1,24.99854497634872,24.92425545932134,25.072834493376103
41,음성 대조군,N4,25.82,2,37.2,25.0497940753006,24.970814707527555,25.128773443073644
129,음성 대조군,N1,25.8,6,37.2,25.0497940753006,24.970814707527555,25.128773443073644
21,음성 대조군,N3,22.76,1,37.2,25.0497940753006,24.970814707527555,25.128773443073644
32,음성 대조군,N2,27.0,1,37.2,25.0497940753006,24.970814707527555,25.128773443073644
150,음성 대조군,N3,23.6,7,37.2,25.0497940753006,24.970814707527555,25.128773443073644
89,음성 대조군,N2,28.0,4,37.3,25.10104317425247,25.016970107393494,25.185116241111448
37,음성 대조군,N4,23.9,1,37.3,25.10104317425247,25.016970107393494,25.185116241111448
40,음성 대조군,N3,22.68,2,37.3,25.10104317425247,25.016970107393494,25.185116241111448
42,음성 대조군,N1,28.12,2,37.3,25.10104317425247,25.016970107393494,25.185116241111448
46,음성 대조군,N1,28.12,2,37.3,25.10104317425247,25.016970107393494,25.185116241111448
59,음성 대조군,N3,22.68,3,37.3,25.10104317425247,25.016970107393494,25.185116241111448
76,음성 대조군,N1,23.55,4,37.3,25.10104317425247,25.016970107393494,25.185116241111448
146,음성 대조군,N2,28.9,7,37.4,25.15229227320435,25.062790583544917,25.24179396286378
38,음성 대조군,N1,23.21,2,37.4,25.15229227320435,25.062790583544917,25.24179396286378
36,음성 대조군,N3,22.5,1,37.4,25.15229227320435,25.062790583544917,25.24179396286378
175,음성 대조군,N4,25.84,13,37.4,25.15229227320435,25.062790583544917,25.24179396286378
136,음성 대조군,N4,25.97,7,37.4,25.15229227320435,25.062790583544917,25.24179396286378
156,음성 대조군,N1,23.25,9,37.5,25.203541372156227,25.108333409378485,25.29874933493397
157,음성 대조군,N2,25.28,9,37.5,25.203541372156227,25.108333409378485,25.29874933493397
151,음성 대조군,N4,24.7,7,37.5,25.203541372156227,25.108333409378485,25.29874933493397
90,음성 대조군,N3,25.3,4,37.5,25.203541372156227,25.108333409378485,25.29874933493397
126,음성 대조군,N1,24.5,6,37.5,25.203541372156227,25.108333409378485,25.29874933493397
54,음성 대조군,N2,22.3,2,37.7,25.30603957005998,25.19876534596209,25.41331379415787
109,음성 대조군,N3,25.7,5,37.7,25.30603957005998,25.19876534596209,25.41331379415787
158,음성 대조군,N3,23.03,9,37.7,25.30603957005998,25.19876534596209,25.41331379415787
145,음성 대조군,N1,25.8,7,37.7,25.30603957005998,25.19876534596209,25.41331379415787
100,음성 대조군,N2,24.4,5,37.9,25.40853776796373,25.28854656199587,25.52852897393159
52,음성 대조군,N3,25.8,2,37.9,25.40853776796373,25.28854656199587,25.52852897393159
51,음성 대조군,N2,28.0,2,37.9,25.40853776796373,25.28854656199587,25.52852897393159
104,음성 대조군,N2,24.4,5,37.9,25.40853776796373,25.28854656199587,25.52852897393159
127,음성 대조군,N2,28.7,6,37.9,25.40853776796373,25.28854656199587,25.52852897393159
159,음성 대조군,N4,25.89,9,37.9,25.40853776796373,25.28854656199587,25.52852897393159
128,음성 대조군,N3,26.4,6,38.0,25.459786866915604,25.333254055155596,25.58631967867561
2,음성 대조군,N3,22.14,0,38.0,25.459786866915604,25.333254055155596,25.58631967867561
0,음성 대조군,N1,23.36,0,38.1,25.51103596586748,25.377863343914843,25.64420858782012
33,음성 대조군,N3,25.5,1,38.1,25.51103596586748,25.377863343914843,25.64420858782012
3,음성 대조군,N4,25.75,0,38.1,25.51103596586748,25.377863343914843,25.64420858782012
147,음성 대조군,N3,26.3,7,38.3,25.61353416377123,25.466840836246895,25.760227491295566
70,음성 대조군,N2,28.4,3,38.4,25.66478326272311,25.51123026647512,25.818336258971097
1,음성 대조군,N2,24.31,0,38.7,25.818530559578736,25.644095228673816,25.992965890483656
